id,page_id,action_name,role,is_allowed,created_at,updated_at
122,6,view,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
123,6,update,collector,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
124,6,view,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
125,6,update,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
126,6,view,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
127,6,update,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
128,6,view,intern,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
129,6,update,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
130,6,view,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
131,6,update,partner,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
132,6,view,teacher,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
133,6,update,teacher,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
134,7,view,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
135,7,view,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
136,7,view,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
137,7,view,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
138,7,view,intern,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
139,7,view,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
140,7,view,teacher,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
660,16,bulk_update,admin,t,2025-06-16 23:33:24.449631+07,2025-06-16 23:33:24.449631+07
661,16,bulk_update,coordinator,t,2025-06-16 23:33:25.893883+07,2025-06-16 23:33:25.893883+07
662,16,export,coordinator,t,2025-06-16 23:33:26.787702+07,2025-06-16 23:33:26.787702+07
663,16,update,coordinator,t,2025-06-16 23:33:28.397616+07,2025-06-16 23:33:28.397616+07
664,16,create,coordinator,t,2025-06-16 23:33:31.363666+07,2025-06-16 23:33:31.363666+07
665,16,delete,coordinator,t,2025-06-16 23:33:32.459966+07,2025-06-16 23:33:32.459966+07
666,16,bulk_update,director,t,2025-06-16 23:33:33.664679+07,2025-06-16 23:33:33.664679+07
148,3,view,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
149,3,create,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
150,3,update,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
151,3,delete,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
152,3,export,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
153,3,view,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
154,3,create,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
155,3,update,collector,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
156,3,delete,collector,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
157,3,export,collector,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
158,3,view,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
159,3,create,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
160,3,update,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
161,3,delete,coordinator,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
162,3,export,coordinator,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
163,3,view,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
164,3,create,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
165,3,update,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
166,3,delete,director,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
167,3,export,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
168,3,view,intern,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
169,3,create,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
170,3,update,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
171,3,delete,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
172,3,export,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
173,3,view,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
